ITEM;ESPECIFICAÇÃO;CATMAT;UNIDADE DE MEDIDA CATMAT;QUANTIDADE;VALOR UNITÁRIO;VALOR TOTAL;LOCAL DE ENTREGA
1;ADAPTADOR, CONEXÃO:ADAPTADOR DE TOMADA TRIPOLAR, APLICAÇÃO:ATENDER NOVO PADRÃO BRASILEIRO DE TOMADA, REFERÊNCIA:SMS 64119.;387200;UNIDADE;77;R$7,33;R$564,41;Campus Lavras
2;ADAPTADOR, QUANTIDADE PÓLOS:2 P + T, CONEXÃO:PLUG 2P+T PADRÃO ANTIGO P/TOMADA 2P+T PADRÃO BRAS., CORRENTE NOMINAL:15 A.;387255;UNIDADE;90;R$7,42;R$667,80;Campus Lavras
3;ADAPTADOR, TENSÃO NOMINAL:127/220 V, TIPO:TOMADA 2P+T, CORRENTE NOMINAL:20 A, CARACTERÍSTICAS ADICIONAIS:ADAPTADOR DE TOMADA DO PADRÃO ANTIGO, APLICAÇÃO:INFORMÁTICA, MATERIAL:TERMOPLÁSTICO, NORMAS TÉCNICAS:NBR 14136, REFERÊNCIA:CÓDIGO 64119, POTÊNCIA NOMINAL:1905/3300 W.;395739;UNIDADE;31;R$7,26;R$225,06;Campus Lavras
4;BATERIA NÃO RECARREGÁVEL, TIPO: ALCALINA, VOLTAGEM: 9 V, AMPERAGEM: 120 MAH;300473;UNIDADE;156;R$7,01;R$1.093,56;Campus Lavras
5;BATERIA AUTOMOTIVA, TIPO: SELADA, TENSÃO NOMINAL: 12 V, CAPACIDADE NOMINAL: 7,0 AH, SISTEMA ELETROQUÍMICO: CHUMBO-ÁCIDO IDEAL PARA NO-BREAKS, ALARMES E OUTROS EQUIPAMENTOS.;458450;UNIDADE;26;R$100,99;R$2.625,74;Campus Lavras
6;BATERIA NÃO RECARREGÁVEL, TIPO: BOTÃO, TENSÃO NOMINAL: 1,5 VCC, MODELO: LR44, CAPACIDADE NOMINAL: 120 MAH;482036;EMB 10,00 UN;16;R$4,20;R$67,20;Campus Lavras
7;BATERIA NÃO RECARREGÁVEL, TIPO: ALCALINA, VOLTAGEM: 9 V, APLICAÇÃO: APARELHO ELETRO-ELETRÔNICO.;234354;EMB 10,00 UN;173;R$115,50;R$19.981,50;Campus Lavras
8;BATERIA NÃO RECARREGÁVEL, TIPO: BUTTON CELL, VOLTAGEM: 1,55 V, APLICAÇÃO: CANETA LASER, CARACTERÍSTICAS ADICIONAIS: REFERÊNCIA LR 41 + SODA, ALCALINA.;301633;UNIDADE;91;R$0,90;R$81,90;Campus Lavras
9;BATERIA NÃO RECARREGÁVEL, TIPO: LITHIUM, VOLTAGEM: 3 V, APLICAÇÃO: MÁQUINA FOTOGRÁFICA, CARACTERÍSTICAS ADICIONAIS: MODELO CR2032.;313931;UNIDADE;182;R$1,35;R$245,70;Campus Lavras
10;BATERIA RECARREGÁVEL, TENSÃO: 9 V, APLICAÇÃO: EQUIPAMENTOS ELETRÔNICOS SISTEMA ELETROQUÍMICO: NI-MH, CAPACIDADE NOMINAL: 160 MAH.;333185;UNIDADE;91;R$22,26;R$2.025,66;Campus Lavras
11;BATERIA RECARREGÁVEL, TENSÃO:9 V, APLICAÇÃO:EQUIPAMENTOS ELETRÔNICOS CARACTERÍSTICAS ADICIONAIS: 320 MAH.;333185;UNIDADE;148;R$30,79;R$4.556,92;Campus Lavras
12;BATERIA RECARREGÁVEL, TIPO:SELADA VRLA(REGULADAS POR VÁLVULAS), DURAÇÃO CARGA:20 H, USO:NOBREAK, SISTEMA ELETROQUÍMICO:CHUMBO-ÁCIDO, CAPACIDADE NOMINAL:17 AH, TENSÃO NOMINAL:12 V.;465504;UNIDADE;48;R$189,89;R$9.114,72;Campus Lavras
13;"BATERIA RECARREGÁVEL, TIPO: SELADA VRLA (REGULADAS POR VÁLVULAS) ESTACIONÁRIA, DURAÇÃO CARGA: 20 H, USO: NOBREAK, SISTEMA ELETROQUÍMICO: CHUMBO-ÁCIDO, TENSÃO NOMINAL: 12 V, CARACTERÍSTICAS ADICIONAIS: DISPENSA ADIÇÃO ÁGUA OU ELETRÓLITO, CAPACIDADE NOMINAL: 5 AH, DIMENSÕES: (AXCXL) 110 X 90 X 70 MM, FAIXA TEMPERATURA DE TRABALHO: 25 °C.
Grupo Material: 3026 - MATERIAL ELETRICO E ELETRÔNICO";455738;UNIDADE;31;R$70,09;R$2.172,79;Campus Lavras
