NCM;Regra de origem;Margem normal;Regra de qualificação;Margem adicional
85044010;código CFI;10%;;
85076000;código CFI;10%;;
8601;código CFI;10%;;
8602;código CFI;10%;;
8603;código CFI;10%;;
86069;código CFI;10%;;
86071110;código CFI;10%;;
860400;código CFI;10%;;
860500;código CFI;10%;;
86080012;código CFI;10%;;
8702;código CFI;10%;;
87079090;código CFI;10%;;
87060010;código CFI;10%;;
87060090;código CFI;10%;;
90328930;código CFI;10%;;
8429;código CFI;10%;;
8430;código CFI;10%;;
847910;código CFI;10%;;
847982;código CFI;10%;;
85013120;código CFI-A;10%;;
85013220;código CFI-A;10%;;
85013320;código CFI-A;10%;;
85013420;código CFI-A;10%;;
85017;código CFI-A;10%;;
85018000;código CFI-A;10%;;
85044090;código CFI;10%;;
85354090;código CFI;10%;;
85363090;código CFI;10%;;
85371090;código CFI;10%;;
85372090;código CFI;10%;;
85414300;código CFI;10%;;
8701;código CFI;10%;;
24049200;MedNac;5%;MedIFANac;10%
25010090;MedNac;5%;MedIFANac;10%
29362113;MedNac;5%;MedIFANac;10%
29362931;MedNac;5%;MedIFANac;10%
30021211;MedNac;5%;MedIFANac;10%
30021212;MedNac;5%;MedIFANac;10%
30021215;MedNac;5%;MedIFANac;10%
30021219;MedNac;5%;MedIFANac;10%
30021239;MedNac;5%;MedIFANac;10%
300215;MedNac;5%;MedIFANac;10%
30024121;MedNac;5%;MedIFANac;10%
30024122;MedNac;5%;MedIFANac;10%
30024123;MedNac;5%;MedIFANac;10%
30024125;MedNac;5%;MedIFANac;10%
30024126;MedNac;5%;MedIFANac;10%
30024127;MedNac;5%;MedIFANac;10%
30024129;MedNac;5%;MedIFANac;10%
30024210;MedNac;5%;MedIFANac;10%
30024992;MedNac;5%;MedIFANac;10%
30041012;MedNac;5%;MedIFANac;10%
30041014;MedNac;5%;MedIFANac;10%
30042029;MedNac;5%;MedIFANac;10%
30042032;MedNac;5%;MedIFANac;10%
30042049;MedNac;5%;MedIFANac;10%
30042059;MedNac;5%;MedIFANac;10%
30042069;MedNac;5%;MedIFANac;10%
30042099;MedNac;5%;MedIFANac;10%
30043100;MedNac;5%;MedIFANac;10%
30043220;MedNac;5%;MedIFANac;10%
30043290;MedNac;5%;MedIFANac;10%
30043929;MedNac;5%;MedIFANac;10%
30043939;MedNac;5%;MedIFANac;10%
30043999;MedNac;5%;MedIFANac;10%
30044990;MedNac;5%;MedIFANac;10%
30045010;MedNac;5%;MedIFANac;10%
30046000;MedNac;5%;MedIFANac;10%
30049014;MedNac;5%;MedIFANac;10%
30049019;MedNac;5%;MedIFANac;10%
30049021;MedNac;5%;MedIFANac;10%
30049024;MedNac;5%;MedIFANac;10%
30049029;MedNac;5%;MedIFANac;10%
30049029;MedNac;5%;MedIFANac;10%
30049035;MedNac;5%;MedIFANac;10%
30049036;MedNac;5%;MedIFANac;10%
30049039;MedNac;5%;MedIFANac;10%
30049041;MedNac;5%;MedIFANac;10%
30049042;MedNac;5%;MedIFANac;10%
30049045;MedNac;5%;MedIFANac;10%
30049049;MedNac;5%;MedIFANac;10%
